epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,310.093,2.09491,2.3425,1.37213,0.44195,0.29753,0.27358,0.12001,1.98418,4.42258,1.30109,0.00040008,0.00040008,0.00040008
2,603.988,1.98548,1.47673,1.28779,0.3704,0.3412,0.28443,0.09794,2.14858,3.49583,1.41792,0.000808743,0.000808743,0.000808743
3,901.511,1.94371,1.31442,1.27738,0.47719,0.46329,0.42984,0.18784,2.03534,2.34528,1.33291,0.00120916,0.00120916,0.00120916
4,1190.25,1.93409,1.31113,1.27458,0.37353,0.58578,0.36185,0.15295,2.05062,1.82361,1.36035,0.00160132,0.00160132,0.00160132
5,1476.39,1.92165,1.1818,1.26297,0.49652,0.51101,0.49056,0.22762,2.0221,1.62119,1.3344,0.00160099,0.00160099,0.00160099
6,1761.59,1.8698,1.14137,1.2569,0.41687,0.54899,0.44668,0.19276,2.07865,1.76579,1.40715,0.00158448,0.00158448,0.00158448
7,2041.61,1.8933,1.17471,1.26297,0.53647,0.54145,0.45766,0.20382,2.04762,2.09384,1.3826,0.00156798,0.00156798,0.00156798
8,2320.08,1.84048,1.10399,1.23004,0.53926,0.57178,0.5138,0.25049,1.98272,1.48416,1.33247,0.00155148,0.00155148,0.00155148
9,2595.68,1.81271,1.05069,1.22314,0.57855,0.56333,0.54873,0.2588,2.0223,1.46061,1.32499,0.00153497,0.00153497,0.00153497
10,2886.22,1.84193,1.04667,1.229,0.64178,0.60088,0.55953,0.25742,1.95934,1.26567,1.28709,0.00151847,0.00151847,0.00151847
11,3180.93,1.80265,1.0205,1.22176,0.52293,0.60517,0.53028,0.23982,2.00564,1.44318,1.31089,0.00150197,0.00150197,0.00150197
12,3472.77,1.79294,1.0261,1.19885,0.64807,0.6463,0.624,0.28756,1.97072,1.13231,1.29431,0.00148546,0.00148546,0.00148546
13,3781.53,1.82381,1.02426,1.21599,0.69964,0.6547,0.61079,0.28684,1.95863,1.16598,1.27219,0.00146896,0.00146896,0.00146896
14,4068.63,1.7768,1.01965,1.21427,0.72244,0.64167,0.65065,0.30946,1.96218,1.16178,1.29757,0.00145246,0.00145246,0.00145246
15,4364.98,1.78785,1.03685,1.22441,0.68368,0.65348,0.63226,0.30567,1.92996,1.15736,1.27859,0.00143595,0.00143595,0.00143595
16,4669.68,1.76461,0.98288,1.18508,0.73207,0.64853,0.62435,0.29917,1.9043,1.10021,1.262,0.00141945,0.00141945,0.00141945
17,4941.05,1.74804,0.9471,1.19871,0.69511,0.6708,0.63535,0.31003,1.92113,1.14966,1.26734,0.00140295,0.00140295,0.00140295
18,5211.71,1.75215,0.97951,1.19896,0.71484,0.62023,0.61171,0.29121,1.96504,1.1294,1.29854,0.00138644,0.00138644,0.00138644
19,5502.87,1.72573,0.93223,1.18206,0.65828,0.61175,0.58598,0.27943,1.94664,1.18059,1.29492,0.00136994,0.00136994,0.00136994
20,5796.17,1.71877,0.91719,1.18098,0.74813,0.62886,0.67441,0.32108,1.99163,1.10672,1.30413,0.00135344,0.00135344,0.00135344
21,6104.23,1.74962,0.94342,1.18706,0.62256,0.64507,0.59051,0.26209,2.03962,1.22207,1.32771,0.00133693,0.00133693,0.00133693
22,6476.16,1.69642,0.92897,1.16402,0.66995,0.62194,0.62507,0.30949,1.96259,1.10747,1.29172,0.00132043,0.00132043,0.00132043
23,6800.11,1.69586,0.91394,1.17735,0.67704,0.69653,0.63659,0.30178,1.93957,1.0441,1.27435,0.00130393,0.00130393,0.00130393
24,7066.93,1.64443,0.88101,1.15854,0.66417,0.68076,0.66376,0.32866,1.95231,1.0795,1.28962,0.00128742,0.00128742,0.00128742
25,7344.45,1.65769,0.88538,1.16167,0.66232,0.69156,0.65266,0.32407,1.91504,1.07974,1.28994,0.00127092,0.00127092,0.00127092
26,7649.14,1.67486,0.89206,1.15645,0.70078,0.68835,0.67415,0.33307,1.94994,1.07667,1.28311,0.00125442,0.00125442,0.00125442
27,8023.53,1.65125,0.86703,1.14722,0.66219,0.6772,0.64684,0.31495,1.91105,1.06152,1.26538,0.00123791,0.00123791,0.00123791
28,8397.29,1.65268,0.89386,1.16717,0.72508,0.64738,0.64175,0.31241,1.93561,1.06113,1.28618,0.00122141,0.00122141,0.00122141
29,8744.3,1.66013,0.87621,1.15535,0.7356,0.65174,0.63551,0.29996,1.94677,1.0768,1.27832,0.00120491,0.00120491,0.00120491
30,9111.99,1.66453,0.87447,1.1477,0.71443,0.68323,0.64506,0.31253,1.91707,1.01245,1.2667,0.0011884,0.0011884,0.0011884
31,9488.84,1.68619,0.89366,1.16707,0.71104,0.68366,0.67026,0.32182,1.97536,1.07075,1.28652,0.0011719,0.0011719,0.0011719
32,9855.57,1.61708,0.85798,1.15169,0.71098,0.67656,0.66769,0.33258,1.88959,1.0289,1.25928,0.0011554,0.0011554,0.0011554
33,10205.4,1.62541,0.85734,1.13101,0.7381,0.68399,0.65334,0.32438,1.87671,0.99207,1.25416,0.00113889,0.00113889,0.00113889
34,10546.2,1.61847,0.83099,1.13953,0.68655,0.66265,0.62779,0.31962,1.90461,1.04917,1.26603,0.00112239,0.00112239,0.00112239
35,10907.1,1.62181,0.83914,1.13723,0.65912,0.68926,0.62578,0.30657,1.91191,1.03626,1.2598,0.00110589,0.00110589,0.00110589
36,11266.6,1.61067,0.84593,1.12087,0.70336,0.69018,0.66633,0.3203,1.92241,1.02184,1.27599,0.00108938,0.00108938,0.00108938
37,11640.6,1.58627,0.82872,1.1203,0.72851,0.68987,0.69453,0.34568,1.92454,1.01337,1.28474,0.00107288,0.00107288,0.00107288
38,11992.4,1.57533,0.81597,1.11467,0.6765,0.69492,0.65477,0.31037,1.94569,1.05779,1.28198,0.00105638,0.00105638,0.00105638
39,12334.3,1.56352,0.81377,1.09742,0.71081,0.67447,0.65475,0.31704,1.91835,1.00291,1.28108,0.00103987,0.00103987,0.00103987
40,12684.1,1.60274,0.84335,1.13296,0.70288,0.65169,0.66761,0.32349,1.93307,1.02309,1.27605,0.00102337,0.00102337,0.00102337
41,13049.1,1.56336,0.8053,1.11648,0.70655,0.68776,0.6715,0.3383,1.92943,0.98615,1.27455,0.00100687,0.00100687,0.00100687
42,13418.1,1.54369,0.78287,1.10554,0.70953,0.68927,0.66289,0.31683,1.9618,1.00835,1.27899,0.000990365,0.000990365,0.000990365
43,13694.8,1.5688,0.81886,1.12011,0.70881,0.62705,0.62272,0.31172,1.89363,1.03588,1.26439,0.000973861,0.000973861,0.000973861
